current_model_size,mean_confidence,bottom_window_confidence,tail_confidence,least_grouped_confidence,target_class
4,10.43,9.573788934292072,10.65322705078125,8.57,0
4,8.129,5.571791117475065,8.1429716796875,5.158,0
4,7.715,5.252048452758805,5.584680664062501,4.891,0
4,8.366,6.548600661482904,7.04993701171875,5.291,0
4,8.647,7.136154388277404,7.4688525390625,5.726,0
4,7.553,5.945697449129363,6.20678759765625,5.667,0
4,7.414,5.509362065219415,5.51017724609375,5.091,0
4,7.187,5.385317235097155,5.63071728515625,5.18,0
4,7.394,5.435658475748679,6.25094287109375,5.124,0
4,11.029,10.518693969726566,10.63284521484375,10.091,0
4,12.931,12.93065455791638,12.93065455791638,11.773,0
4,13.287,13.28728635851184,13.28728635851184,13.287286358511846,1
4,13.778,13.778006451612905,13.778006451612905,13.77800645161289,1
4,8.84,8.491290248325875,8.5174912109375,7.244,1
4,8.15,8.149699448068239,8.149699448068239,6.761,1
4,7.485,6.452355172981057,6.8944482421875,6.331,1
4,7.71,7.194213938643313,7.26580126953125,6.274,1
4,9.109,9.10907873210634,9.10907873210634,9.109078732106353,1
4,12.245,12.244668097281831,12.244668097281831,12.244668097281838,0
4,9.033,9.033313172731932,9.033313172731932,8.312,0
4,12.386,12.385891535732387,12.385891535732387,11.211,0
4,13.019,13.018556701030928,13.018556701030928,13.01855670103093,0
4,11.418,10.837653630574511,11.083572265625,9.92,0
4,9.212,6.674669395254537,8.176449218750001,5.658,1
4,7.502,6.220045647177804,6.75117626953125,5.876,1
4,7.338,6.047272332533795,6.83319287109375,5.56,1
4,12.411,8.378904064830591,13.714201171875,7.142,1
4,7.052,6.103174618252903,6.8196748046875,5.52,1
4,7.86,6.481384291305669,7.56426220703125,6.16,1
4,15.281,8.915442284679138,8.10912890625,7.381,1
4,7.157,5.550760436670726,6.8044453125,5.436,0
4,11.499,10.766112512466735,10.7552958984375,8.891,0
4,13.364,13.364042446941324,13.364042446941324,13.364042446941315,0
4,10.005,10.00482217573222,10.00482217573222,9.295,0
4,11.304,11.303937351308484,11.303937351308484,10.785,0
4,6.55,5.654086994190696,6.10539501953125,5.514,0
4,13.845,13.844731292517007,13.844731292517007,13.844731292517013,0
4,10.507,8.79391309130322,8.89031787109375,7.027,0
4,13.419,13.418523542600898,13.418523542600898,13.418523542600898,0
4,12.913,12.91305387205387,12.91305387205387,12.666,0
4,11.346,11.34632072691552,11.34632072691552,10.156,0
4,6.701,5.114011828911005,5.42748974609375,4.778,0
4,11.615,11.615209664209663,11.615209664209663,11.184,0
4,10.587,9.324721228135386,11.453572265625,8.185,0
4,10.007,10.006602795573675,10.006602795573675,8.909,0
4,11.346,10.20516153531459,10.337916015625002,9.383,0
4,14.897,14.89694058856191,14.89694058856191,13.669,0
4,13.183,13.183154907161803,13.183154907161803,10.964,0
4,11.687,11.687313238770686,11.687313238770686,10.92,0
4,11.882,11.882010707911958,11.882010707911958,11.428,0
4,8.326,7.371216436851966,9.00789990234375,7.152,0
4,7.719,6.914657012939463,7.496621093750001,6.546,0
4,8.339,8.338749309773604,8.338749309773604,6.849,0
4,8.738,7.893399620225712,8.6354892578125,7.483,0
4,8.268,7.299794118923602,7.5386787109375,6.602,0
4,10.715,10.715343353373411,10.715343353373411,9.679,0
4,10.996,10.995811160936722,10.995811160936722,10.432,0
4,9.687,7.950259959760917,9.22639111328125,7.521,1
4,10.871,9.852051868556709,10.35594921875,9.144,1
4,11.88,11.879513104838711,11.879513104838711,11.879513104838718,0
4,13.389,13.389125954198477,13.389125954198477,12.886,0
4,13.965,13.964774375503628,13.964774375503628,13.521,0
4,11.476,11.475828956228955,11.475828956228955,10.755,0
4,13.038,13.037990178023328,13.037990178023328,12.496,0
4,12.622,12.62182228490832,12.62182228490832,12.621822284908326,0
4,12.333,12.333153319283458,12.333153319283458,11.421,0
4,14.145,14.145035385704174,14.145035385704174,13.043,0
4,14.123,14.123392467789891,14.123392467789891,14.123392467789897,0
4,12.082,12.082064890710384,12.082064890710384,11.456,0
4,10.374,10.37382439537329,10.37382439537329,10.373824395373276,0
4,9.901,9.057812194824216,9.301650878906251,8.266,1
4,7.877,6.28334602043075,6.384552734374999,5.979,0
4,11.65,11.132795705694864,11.421326171874998,10.669,0
4,13.199,13.198559322033898,13.198559322033898,13.168,0
4,10.3,10.179804617745544,10.25534912109375,9.007,0
4,12.035,11.215369947160973,11.49143310546875,10.585,0
4,13.354,13.353700840336137,13.353700840336137,13.35370084033613,0
4,10.626,9.806696354166684,10.0504404296875,7.949,0
4,6.849,5.887768423513996,7.0311000976562505,5.656,0
32,9.595,9.039593550597193,10.166448730468751,8.065,0
32,7.284,5.759567369249166,7.4777724609375005,4.951,0
32,7.138,6.03917535238519,6.116267578125001,5.547,0
32,6.236,5.117157030590163,5.10440283203125,4.893,0
32,6.523,5.284297654292788,5.7545830078125,5.123,0
32,6.425,5.185516845175873,5.4020869140625,4.843,0
32,6.641,5.590102831266064,5.9903857421875,5.235,0
32,6.298,5.300033252451926,5.53316064453125,5.099,0
32,6.759,5.45727480961043,5.97179345703125,5.202,0
32,9.905,9.90532927447996,9.90532927447996,8.775,0
32,9.888,9.88822805893658,9.88822805893658,8.463,0
32,9.627,9.626623740201568,9.626623740201568,9.626623740201564,1
32,11.787,11.787211734693877,11.787211734693877,11.78721173469387,0
32,8.359,8.110554950420674,8.2646904296875,7.489,0
32,10.669,10.668575712143928,10.668575712143928,10.073,0
32,11.559,11.559094188376752,11.559094188376752,11.559094188376758,0
32,10.029,8.548360141617465,10.868025390625,7.761,0
32,11.569,11.569497517378352,11.569497517378352,11.151,1
32,7.901,6.436880166330647,8.84312060546875,5.602,0
32,10.195,9.425733162715492,10.4484501953125,8.665,0
32,9.825,9.82543780487805,9.82543780487805,9.825437804878067,0
32,8.099,7.361567834775292,7.6684111328124995,6.482,0
32,9.564,9.563537136706136,9.563537136706136,9.563537136706133,0
32,8.07,7.60782416937322,8.485369628906252,6.828,0
32,9.512,9.511593442622951,9.511593442622951,9.51159344262295,0
32,11.884,11.884334563345634,11.884334563345634,11.279,0
32,10.428,10.42753014354067,10.42753014354067,10.413,0
32,10.658,10.657578207381372,10.657578207381372,10.657578207381372,0
32,11.033,11.03262528912876,11.03262528912876,10.584,0
32,9.071,8.591140920155098,9.8432900390625,7.079,0
32,10.599,10.59857509881423,10.59857509881423,10.598575098814228,0
32,10.131,9.168631687330164,10.88741015625,8.714,0
32,8.79,8.790302459016393,8.790302459016393,8.364,0
32,10.38,10.261632202148409,10.3489345703125,9.941,0
32,12.218,12.21769029275809,12.21769029275809,11.826,0
32,11.575,11.574886908841671,11.574886908841671,11.282,0
32,9.521,9.52057063197026,9.52057063197026,8.988,0
32,9.108,9.107646963123646,9.107646963123646,8.455,0
32,7.497,6.619982177734373,7.717921386718751,5.69,0
32,7.597,7.597301783264747,7.597301783264747,6.06,0
32,9.786,9.78618479149632,9.78618479149632,8.963,0
32,9.445,9.444505882352942,9.444505882352942,9.444505882352937,0
32,10.12,10.119723684210529,10.119723684210529,9.506,0
32,7.732,7.2851136648995425,7.751593261718749,6.066,0
